model,Model:,AIC:,Link Function:,BIC:,Dependent Variable:,Log-Likelihood:,LL-Null:,No. Observations:,Deviance:,Df Model:,Pearson chi2:,Df Residuals:,Scale:,Method:
obamacare_test_recommendations_neuMF_0 ~ own_leaning + training_size + df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0 + df_metrics_atypicality__group__ratio_k_10____obamacare_test_recommendations_neuMF_0 + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_neuMF_0,GLM,-47.2139,Log,-13894.377,obamacare_test_recommendations_neuMF_0,29.607,-75.996,1865,105.78,5,106,1859,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ own_leaning + training_size + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_neuMF_0,GLM,-46.7171,Log,-13909.1833,obamacare_test_recommendations_neuMF_0,27.359,-75.859,1865,106.04,3,106,1861,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ own_leaning + training_size + df_metrics_atypicality__group__ratio_k_10____historical_interactions_0,GLM,-46.6953,Log,-13909.1821,obamacare_test_recommendations_neuMF_0,27.348,-75.858,1865,106.04,3,106,1861,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ training_size + df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__group__ratio_k_10____obamacare_test_recommendations_neuMF_0,GLM,-45.1385,Log,-13909.0935,obamacare_test_recommendations_neuMF_0,26.569,-75.774,1865,106.13,3,106,1861,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ own_leaning + training_size + df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0 + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_neuMF_0,GLM,-45.0769,Log,-13901.6729,obamacare_test_recommendations_neuMF_0,27.538,-75.825,1865,106.02,4,106,1860,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ training_size + df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__group__ratio_k_10____obamacare_test_recommendations_neuMF_0 + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_neuMF_0,GLM,-44.2397,Log,-13901.6253,obamacare_test_recommendations_neuMF_0,27.12,-75.78,1865,106.07,4,106,1860,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ training_size + df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_neuMF_0,GLM,-42.7649,Log,-13908.9584,obamacare_test_recommendations_neuMF_0,25.382,-75.647,1865,106.26,3,106,1861,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ own_leaning + training_size + df_metrics_atypicality__group__ratio_k_10____obamacare_test_recommendations_neuMF_0,GLM,-42.7546,Log,-13908.9578,obamacare_test_recommendations_neuMF_0,25.377,-75.647,1865,106.26,3,106,1861,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ training_size + df_metrics_atypicality__group__ratio_k_10____historical_interactions_0,GLM,-42.289,Log,-13916.3481,obamacare_test_recommendations_neuMF_0,24.144,-75.569,1865,106.4,2,106,1862,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ own_leaning + training_size + df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0 + df_metrics_atypicality__group__ratio_k_10____obamacare_test_recommendations_neuMF_0,GLM,-40.7523,Log,-13901.4268,obamacare_test_recommendations_neuMF_0,25.376,-75.594,1865,106.26,4,106,1860,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ training_size + df_metrics_atypicality__group__ratio_k_10____obamacare_test_recommendations_neuMF_0,GLM,-39.6847,Log,-13916.1994,obamacare_test_recommendations_neuMF_0,22.842,-75.433,1865,106.55,2,107,1862,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ training_size + df_metrics_atypicality__group__ratio_k_10____obamacare_test_recommendations_neuMF_0 + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_neuMF_0,GLM,-39.0201,Log,-13908.7448,obamacare_test_recommendations_neuMF_0,23.51,-75.45,1865,106.48,3,106,1861,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ training_size + df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0 + df_metrics_atypicality__group__ratio_k_10____obamacare_test_recommendations_neuMF_0 + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_neuMF_0,GLM,-38.7241,Log,-13901.3112,obamacare_test_recommendations_neuMF_0,24.362,-75.487,1865,106.38,4,106,1860,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ training_size + df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0 + df_metrics_atypicality__group__ratio_k_10____obamacare_test_recommendations_neuMF_0,GLM,-38.2694,Log,-13908.7019,obamacare_test_recommendations_neuMF_0,23.135,-75.411,1865,106.52,3,107,1861,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ own_leaning + training_size,GLM,-31.6087,Log,-13915.737,obamacare_test_recommendations_neuMF_0,18.804,-75.024,1865,107.02,2,107,1862,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ own_leaning + training_size + df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0,GLM,-29.7507,Log,-13908.2143,obamacare_test_recommendations_neuMF_0,18.875,-74.981,1865,107.01,3,107,1861,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ training_size + df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0 + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_neuMF_0,GLM,-29.5213,Log,-13908.2011,obamacare_test_recommendations_neuMF_0,18.761,-74.97,1865,107.02,3,107,1861,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ training_size + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_neuMF_0,GLM,-29.2057,Log,-13915.5991,obamacare_test_recommendations_neuMF_0,17.603,-74.905,1865,107.15,2,107,1862,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ training_size,GLM,-24.1683,Log,-13922.7249,obamacare_test_recommendations_neuMF_0,14.084,-74.616,1865,107.56,1,108,1863,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ training_size + df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0,GLM,-22.4703,Log,-13915.2114,obamacare_test_recommendations_neuMF_0,14.235,-74.583,1865,107.54,2,108,1862,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ own_leaning + df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0,GLM,103.0071,Log,-13900.3195,obamacare_test_recommendations_neuMF_0,-47.504,-70.977,1865,114.9,3,115,1861,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ own_leaning + df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0 + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_neuMF_0,GLM,104.9004,Log,-13892.7952,obamacare_test_recommendations_neuMF_0,-47.45,-70.967,1865,114.9,4,115,1860,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ own_leaning + df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0 + df_metrics_atypicality__group__ratio_k_10____obamacare_test_recommendations_neuMF_0,GLM,104.9932,Log,-13892.7894,obamacare_test_recommendations_neuMF_0,-47.497,-70.966,1865,114.9,4,115,1860,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ own_leaning + df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0 + df_metrics_atypicality__group__ratio_k_10____obamacare_test_recommendations_neuMF_0 + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_neuMF_0,GLM,106.7832,Log,-13885.2715,obamacare_test_recommendations_neuMF_0,-47.392,-70.957,1865,114.89,5,115,1859,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ own_leaning + df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0 + df_metrics_atypicality__group__ratio_k_10____obamacare_test_recommendations_neuMF_0,GLM,106.8313,Log,-13900.0836,obamacare_test_recommendations_neuMF_0,-49.416,-70.935,1865,115.14,3,115,1861,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ own_leaning + df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0,GLM,107.0471,Log,-13907.4776,obamacare_test_recommendations_neuMF_0,-50.524,-70.923,1865,115.27,2,115,1862,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0 + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_neuMF_0,GLM,108.4897,Log,-13899.9812,obamacare_test_recommendations_neuMF_0,-50.245,-70.918,1865,115.24,3,115,1861,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ own_leaning + df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0 + df_metrics_atypicality__group__ratio_k_10____obamacare_test_recommendations_neuMF_0 + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_neuMF_0,GLM,108.5171,Log,-13892.5721,obamacare_test_recommendations_neuMF_0,-49.259,-70.928,1865,115.12,4,115,1860,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ own_leaning + df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0 + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_neuMF_0,GLM,108.8718,Log,-13899.9576,obamacare_test_recommendations_neuMF_0,-50.436,-70.914,1865,115.26,3,115,1861,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0 + df_metrics_atypicality__group__ratio_k_10____obamacare_test_recommendations_neuMF_0 + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_neuMF_0,GLM,109.7654,Log,-13892.4951,obamacare_test_recommendations_neuMF_0,-49.883,-70.916,1865,115.2,4,115,1860,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0,GLM,111.0356,Log,-13907.2308,obamacare_test_recommendations_neuMF_0,-52.518,-70.884,1865,115.52,2,116,1862,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0 + df_metrics_atypicality__group__ratio_k_10____obamacare_test_recommendations_neuMF_0,GLM,112.8558,Log,-13899.7111,obamacare_test_recommendations_neuMF_0,-52.428,-70.877,1865,115.51,3,116,1861,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_neuMF_0,GLM,113.3485,Log,-13907.0875,obamacare_test_recommendations_neuMF_0,-53.674,-70.864,1865,115.66,2,116,1862,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ own_leaning + df_metrics_atypicality__group__ratio_k_10____historical_interactions_0,GLM,113.6685,Log,-13907.0676,obamacare_test_recommendations_neuMF_0,-53.834,-70.862,1865,115.68,2,116,1862,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ own_leaning + df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__group__ratio_k_10____obamacare_test_recommendations_neuMF_0,GLM,114.1587,Log,-13899.6303,obamacare_test_recommendations_neuMF_0,-53.079,-70.866,1865,115.59,3,116,1861,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0 + df_metrics_atypicality__group__ratio_k_10____obamacare_test_recommendations_neuMF_0 + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_neuMF_0,GLM,114.2232,Log,-13899.6263,obamacare_test_recommendations_neuMF_0,-53.112,-70.865,1865,115.6,3,116,1861,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ own_leaning + df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_neuMF_0,GLM,114.2897,Log,-13899.6222,obamacare_test_recommendations_neuMF_0,-53.145,-70.865,1865,115.6,3,116,1861,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__group__ratio_k_10____obamacare_test_recommendations_neuMF_0 + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_neuMF_0,GLM,115.2502,Log,-13899.5627,obamacare_test_recommendations_neuMF_0,-53.625,-70.857,1865,115.66,3,116,1861,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ own_leaning + df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__group__ratio_k_10____obamacare_test_recommendations_neuMF_0 + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_neuMF_0,GLM,115.801,Log,-13892.1216,obamacare_test_recommendations_neuMF_0,-52.901,-70.861,1865,115.57,4,116,1860,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ df_metrics_atypicality__group__ratio_k_10____historical_interactions_0,GLM,116.2037,Log,-13914.3169,obamacare_test_recommendations_neuMF_0,-56.102,-70.834,1865,115.97,1,116,1863,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__group__ratio_k_10____obamacare_test_recommendations_neuMF_0,GLM,116.3171,Log,-13906.9032,obamacare_test_recommendations_neuMF_0,-55.159,-70.841,1865,115.85,2,116,1862,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0,GLM,118.7864,Log,-13914.1562,obamacare_test_recommendations_neuMF_0,-57.393,-70.816,1865,116.13,1,116,1863,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0 + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_neuMF_0,GLM,118.8681,Log,-13906.7447,obamacare_test_recommendations_neuMF_0,-56.434,-70.822,1865,116.01,2,116,1862,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0 + df_metrics_atypicality__group__ratio_k_10____obamacare_test_recommendations_neuMF_0,GLM,119.5469,Log,-13906.7024,obamacare_test_recommendations_neuMF_0,-56.773,-70.817,1865,116.05,2,116,1862,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ own_leaning,GLM,137.3601,Log,-13912.9939,obamacare_test_recommendations_neuMF_0,-66.68,-70.739,1865,117.29,1,117,1863,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ own_leaning + df_metrics_atypicality__group__ratio_k_10____obamacare_test_recommendations_neuMF_0,GLM,137.8484,Log,-13905.558,obamacare_test_recommendations_neuMF_0,-65.924,-70.74,1865,117.19,2,117,1862,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ own_leaning + df_metrics_atypicality__group__ratio_k_10____obamacare_test_recommendations_neuMF_0 + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_neuMF_0,GLM,138.9583,Log,-13898.083,obamacare_test_recommendations_neuMF_0,-65.479,-70.739,1865,117.14,3,117,1861,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ own_leaning + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_neuMF_0,GLM,139.3614,Log,-13905.4629,obamacare_test_recommendations_neuMF_0,-66.681,-70.737,1865,117.29,2,117,1862,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ df_metrics_atypicality__group__ratio_k_10____obamacare_test_recommendations_neuMF_0 + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_neuMF_0,GLM,140.4976,Log,-13905.3914,obamacare_test_recommendations_neuMF_0,-67.249,-70.736,1865,117.36,2,117,1862,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_neuMF_0,GLM,143.5142,Log,-13912.6062,obamacare_test_recommendations_neuMF_0,-69.757,-70.734,1865,117.68,1,118,1863,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ df_metrics_atypicality__group__ratio_k_10____obamacare_test_recommendations_neuMF_0,GLM,144.8029,Log,-13912.5249,obamacare_test_recommendations_neuMF_0,-70.401,-70.734,1865,117.76,1,118,1863,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ training_size + df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_neuMF_0 + df_metrics_miscalibration__individual_diversity_content_k_10____obamacare_test_recommendations_neuMF_0,GLM,186.0486,Log,-3883.9676,obamacare_test_recommendations_neuMF_0,-88.024,-115.34,617,48.052,4,48.1,612,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ training_size + df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__group__ratio_k_10____obamacare_test_recommendations_neuMF_0 + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_neuMF_0 + df_metrics_miscalibration__individual_diversity_content_k_10____obamacare_test_recommendations_neuMF_0,GLM,187.9988,Log,-3877.5473,obamacare_test_recommendations_neuMF_0,-87.999,-115.3,617,48.048,5,48,611,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ training_size + df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0 + df_metrics_miscalibration__group_ratio_k_10____obamacare_test_recommendations_neuMF_0,GLM,188.9966,Log,-3883.7374,obamacare_test_recommendations_neuMF_0,-89.498,-115.22,617,48.282,4,48.3,612,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ training_size + df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0 + df_metrics_atypicality__group__ratio_k_10____obamacare_test_recommendations_neuMF_0 + df_metrics_miscalibration__group_ratio_k_10____obamacare_test_recommendations_neuMF_0,GLM,189.1516,Log,-3877.4574,obamacare_test_recommendations_neuMF_0,-88.576,-115.25,617,48.138,5,48.1,611,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ own_leaning + training_size + df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0 + df_metrics_atypicality__group__ratio_k_10____obamacare_test_recommendations_neuMF_0 + df_metrics_miscalibration__group_ratio_k_10____obamacare_test_recommendations_neuMF_0,GLM,190.3277,Log,-3871.0976,obamacare_test_recommendations_neuMF_0,-88.164,-115.25,617,48.072,6,48.1,610,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ training_size + df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0,GLM,190.3374,Log,-3889.8996,obamacare_test_recommendations_neuMF_0,-91.169,-115.14,617,48.545,3,48.5,613,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ own_leaning + training_size + df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0 + df_metrics_miscalibration__group_ratio_k_10____obamacare_test_recommendations_neuMF_0,GLM,190.557,Log,-3877.3477,obamacare_test_recommendations_neuMF_0,-89.278,-115.2,617,48.247,5,48.2,611,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ training_size + df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0 + df_metrics_miscalibration__group_ratio_k_10____obamacare_test_recommendations_neuMF_0 + df_metrics_miscalibration__individual_diversity_content_k_10____obamacare_test_recommendations_neuMF_0,GLM,190.9946,Log,-3877.3134,obamacare_test_recommendations_neuMF_0,-89.497,-115.19,617,48.282,5,48.3,611,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ training_size + df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0 + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_neuMF_0 + df_metrics_miscalibration__group_ratio_k_10____obamacare_test_recommendations_neuMF_0,GLM,191,Log,-3877.313,obamacare_test_recommendations_neuMF_0,-89.5,-115.19,617,48.282,5,48.3,611,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ training_size + df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0 + df_metrics_atypicality__group__ratio_k_10____obamacare_test_recommendations_neuMF_0 + df_metrics_atypicality__individual_diversity_content_k_10____obamacare_test_recommendations_neuMF_0 + df_metrics_miscalibration__group_ratio_k_10____obamacare_test_recommendations_neuMF_0,GLM,191.0073,Log,-3871.0447,obamacare_test_recommendations_neuMF_0,-88.504,-115.22,617,48.125,6,48.1,610,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ training_size + df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0 + df_metrics_atypicality__group__ratio_k_10____obamacare_test_recommendations_neuMF_0 + df_metrics_miscalibration__group_ratio_k_10____obamacare_test_recommendations_neuMF_0 + df_metrics_miscalibration__individual_diversity_content_k_10____obamacare_test_recommendations_neuMF_0,GLM,191.1483,Log,-3871.0337,obamacare_test_recommendations_neuMF_0,-88.574,-115.22,617,48.136,6,48.1,610,0,IRLS
obamacare_test_recommendations_neuMF_0 ~ own_leaning + training_size + df_metrics_atypicality__group__ratio_k_10____historical_interactions_0 + df_metrics_atypicality__individual_diversity_content_k_10____historical_interactions_0,GLM,191.5848,Log,-3883.5345,obamacare_test_recommendations_neuMF_0,-90.792,-115.13,617,48.485,4,48.5,612,0,IRLS
